community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
McKinley Park,1423625,46560,Denali Borough,1419988,99068,68,0,"Created from part of the Yukon-Koyukuk Census Area (02-290) and an unpopulated part of the Southeast Fairbanks Census Area (02-240) effective December 7, 1990; 1990 population: 1,682.",,63.7327778,-148.9141667,Railbelt,be7ba217-124a-4c07-844a-e13b8119b592,2004,136
Kokhanok,1404333,41280,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.4394444,-154.7761111,Bristol Bay,5a9a2965-3bce-4655-af6f-1861b119bebb,2004,160
Kalifornsky,1413260,37250,Kenai Peninsula Borough,1419972,99122,122,0,,,60.4183333,-151.2900000,Railbelt,b248add4-e334-45e6-979c-a62e539acfc6,2004,6720
Tonsina,1411105,78350,Valdez-Cordova Census Area,1419984,99261,261,0,,,61.6558333,-145.1752778,Copper River/Chugach,926492a3-584e-4931-a00d-ffa68ebd7013,2004,85
Kasigluk,1404483,37975,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.8955556,-162.5180556,Lower Yukon-Kuskokwim,2f7923cc-1cea-4335-86ad-08151d8d4eec,2004,521
Nelson Lagoon,1418948,52940,Aleutians East Borough,1419964,99013,13,0,"Created from part of the former Aleutian Islands Census Area (02-010) effective October 23, 1987. The remainder of the former Aleutian Islands Census Area was established as the new Aleutians West Census Area (02-016); 1980 population: 1,643.",Aleut Corporation,56.0006152,-161.2069740,Aleutians,199f49f0-a6ef-4622-b597-d4c015ba33f2,2004,75
Happy Valley,1866949,31710,Kenai Peninsula Borough,1419972,99122,122,0,,,59.9472222,-151.7322222,Railbelt,3000a9ea-90a7-49d1-84be-7dc727d5b2a3,2004,543
Clam Gulch,1412797,15320,Kenai Peninsula Borough,1419972,99122,122,0,,,60.2311111,-151.3936111,Railbelt,d7b8ddf0-dfc8-4baa-8754-a9bbcac035a8,2004,175
Chitina,1400337,14110,Valdez-Cordova Census Area,1419984,99261,261,0,,"Ahtna, Incorporated",61.5158333,-144.4369444,Copper River/Chugach,bc65e04c-31f2-4727-bfac-25556e31ff62,2004,127
Kwigillingok,1405122,42490,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,59.8644444,-163.1341667,Lower Yukon-Kuskokwim,240d8e7e-eb06-4c50-a167-9626412459ce,2004,346
